match_id,draft_order,top_radiant_score,top_dire_score,top_verdict,mid_radiant_score,mid_dire_score,mid_verdict,bot_radiant_score,bot_dire_score,bot_verdict,analysis_error
8030545767,Dire Ban: Puck; Radiant Ban: Bristleback; Radiant Ban: Beastmaster; Dire Ban: Monkey King; Radiant Ban: Tusk; Radiant Ban: Muerta; Dire Ban: Morphling; Dire Pick: Shadow Demon; Radiant Pick: Clockwerk; Dire Ban: Shadow Fiend; Dire Ban: Pangolier; Radiant Ban: Invoker; Radiant Pick: Earth Spirit; Dire Pick: Storm Spirit; Dire Pick: Hoodwink; Radiant Pick: Silencer; Radiant Pick: Mars; Dire Pick: Alchemist; Dire Ban: Weaver; Radiant Ban: Doom; Radiant Ban: Night Stalker; Dire Ban: Medusa; Dire Pick: Sand King; Radiant Pick: Nature's Prophet,0,4,Dire Ahead (4 vs 0),0,1,Even Lane (0 vs 1),0,1,Even Lane (0 vs 1),
8030554825,Radiant Ban: Alchemist; Dire Ban: Naga Siren; Dire Ban: Shadow Demon; Radiant Ban: Bristleback; Dire Ban: Mars; Dire Ban: Clockwerk; Radiant Ban: Dragon Knight; Radiant Pick: Shadow Fiend; Dire Pick: Primal Beast; Radiant Ban: Luna; Radiant Ban: Pugna; Dire Ban: Tusk; Dire Pick: Dark Willow; Radiant Pick: Bane; Radiant Pick: Muerta; Dire Pick: Crystal Maiden; Dire Pick: Terrorblade; Radiant Pick: Sand King; Radiant Ban: Puck; Dire Ban: Timbersaw; Dire Ban: Keeper of the Light; Radiant Ban: Monkey King; Radiant Pick: Dawnbreaker; Dire Pick: Invoker,0,0,Even Lane (0 vs 0),1,0,Even Lane (1 vs 0),0,3,Dire Ahead (3 vs 0),
8030561062,Dire Ban: Enchantress; Radiant Ban: Naga Siren; Radiant Ban: Shadow Demon; Dire Ban: Timbersaw; Radiant Ban: Shadow Fiend; Radiant Ban: Pugna; Dire Ban: Clockwerk; Dire Pick: Tusk; Radiant Pick: Beastmaster; Dire Ban: Alchemist; Dire Ban: Gyrocopter; Radiant Ban: Visage; Radiant Pick: Lion; Dire Pick: Underlord; Dire Pick: Rubick; Radiant Pick: Chen; Radiant Pick: Monkey King; Dire Pick: Morphling; Dire Ban: Luna; Radiant Ban: Invoker; Radiant Ban: Storm Spirit; Dire Ban: Medusa; Dire Pick: Primal Beast; Radiant Pick: Earthshaker,4,0,Radiant Ahead (4 vs 0),0,4,Dire Ahead (4 vs 0),1,0,Even Lane (1 vs 0),
8030937976,Radiant Ban: Luna; Dire Ban: Clockwerk; Dire Ban: Naga Siren; Radiant Ban: Doom; Dire Ban: Monkey King; Dire Ban: Sand King; Radiant Ban: Invoker; Radiant Pick: Shadow Fiend; Dire Pick: Ogre Magi; Radiant Ban: Medusa; Radiant Ban: Morphling; Dire Ban: Timbersaw; Dire Pick: Shadow Demon; Radiant Pick: Marci; Radiant Pick: Bristleback; Dire Pick: Viper; Dire Pick: Templar Assassin; Radiant Pick: Lion; Radiant Ban: Pangolier; Dire Ban: Storm Spirit; Dire Ban: Queen of Pain; Radiant Ban: Ember Spirit; Radiant Pick: Sniper; Dire Pick: Primal Beast,3,0,Radiant Ahead (3 vs 0),7,0,Radiant Ahead (7 vs 0),0,0,Even Lane (0 vs 0),
8030938525,Radiant Ban: Shadow Demon; Dire Ban: Bounty Hunter; Dire Ban: Invoker; Radiant Ban: Lion; Dire Ban: Beastmaster; Dire Ban: Broodmother; Radiant Ban: Tusk; Radiant Pick: Lich; Dire Pick: Hoodwink; Radiant Ban: Dawnbreaker; Radiant Ban: Puck; Dire Ban: Sand King; Dire Pick: Centaur Warrunner; Radiant Pick: Shadow Fiend; Radiant Pick: Batrider; Dire Pick: Abaddon; Dire Pick: Weaver; Radiant Pick: Rubick; Radiant Ban: Queen of Pain; Dire Ban: Slardar; Dire Ban: Visage; Radiant Ban: Ember Spirit; Radiant Pick: Primal Beast; Dire Pick: Outworld Devourer,7,0,Radiant Ahead (7 vs 0),7,0,Radiant Ahead (7 vs 0),7,0,Radiant Ahead (7 vs 0),
8030938534,Dire Ban: Chen; Radiant Ban: Naga Siren; Radiant Ban: Shadow Demon; Dire Ban: Luna; Radiant Ban: Shadow Fiend; Radiant Ban: Dragon Knight; Dire Ban: Muerta; Dire Pick: Night Stalker; Radiant Pick: Enchantress; Dire Ban: Sand King; Dire Ban: Pangolier; Radiant Ban: Nyx Assassin; Radiant Pick: Tusk; Dire Pick: Doom; Dire Pick: Disruptor; Radiant Pick: Terrorblade; Radiant Pick: Mars; Dire Pick: Morphling; Dire Ban: Earthshaker; Radiant Ban: Storm Spirit; Radiant Ban: Puck; Dire Ban: Invoker; Dire Pick: Phoenix; Radiant Pick: Riki,7,0,Radiant Ahead (7 vs 0),7,0,Radiant Ahead (7 vs 0),7,0,Radiant Ahead (7 vs 0),
8030940036,Radiant Ban: Terrorblade; Dire Ban: Naga Siren; Dire Ban: Shadow Fiend; Radiant Ban: Lich; Dire Ban: Clockwerk; Dire Ban: Visage; Radiant Ban: Shadow Demon; Radiant Pick: Luna; Dire Pick: Medusa; Radiant Ban: Tusk; Radiant Ban: Enchantress; Dire Ban: Invoker; Dire Pick: Ogre Magi; Radiant Pick: Muerta; Radiant Pick: Marci; Dire Pick: Earth Spirit; Dire Pick: Chen; Radiant Pick: Primal Beast; Radiant Ban: Doom; Dire Ban: Monkey King; Dire Ban: Anti-Mage; Radiant Ban: Beastmaster; Radiant Pick: Mars; Dire Pick: Dark Seer,5,0,Radiant Ahead (5 vs 0),4,0,Radiant Ahead (4 vs 0),1,0,Even Lane (1 vs 0),
8030943961,Radiant Ban: Broodmother; Dire Ban: Shadow Demon; Dire Ban: Tusk; Radiant Ban: Visage; Dire Ban: Batrider; Dire Ban: Bristleback; Radiant Ban: Puck; Radiant Pick: Invoker; Dire Pick: Lich; Radiant Ban: Dragon Knight; Radiant Ban: Alchemist; Dire Ban: Medusa; Dire Pick: Luna; Radiant Pick: Terrorblade; Radiant Pick: Muerta; Dire Pick: Tiny; Dire Pick: Grimstroke; Radiant Pick: Enchantress; Radiant Ban: Doom; Dire Ban: Morphling; Dire Ban: Beastmaster; Radiant Ban: Primal Beast; Radiant Pick: Dawnbreaker; Dire Pick: Sand King,7,0,Radiant Ahead (7 vs 0),7,0,Radiant Ahead (7 vs 0),7,0,Radiant Ahead (7 vs 0),
8030943994,Radiant Ban: Beastmaster; Dire Ban: Shadow Fiend; Dire Ban: Invoker; Radiant Ban: Io; Dire Ban: Clockwerk; Dire Ban: Tusk; Radiant Ban: Puck; Radiant Pick: Storm Spirit; Dire Pick: Earthshaker; Radiant Ban: Muerta; Radiant Ban: Shadow Demon; Dire Ban: Morphling; Dire Pick: Pugna; Radiant Pick: Dawnbreaker; Radiant Pick: Crystal Maiden; Dire Pick: Alchemist; Dire Pick: Batrider; Radiant Pick: Dragon Knight; Radiant Ban: Doom; Dire Ban: Dark Willow; Dire Ban: Snapfire; Radiant Ban: Timbersaw; Radiant Pick: Phoenix; Dire Pick: Viper,2,0,Radiant Ahead (2 vs 0),4,0,Radiant Ahead (4 vs 0),3,0,Radiant Ahead (3 vs 0),
8030945446,Radiant Ban: Enchantress; Dire Ban: Pugna; Dire Ban: Ogre Magi; Radiant Ban: Beastmaster; Dire Ban: Alchemist; Dire Ban: Invoker; Radiant Ban: Doom; Radiant Pick: Muerta; Dire Pick: Bounty Hunter; Radiant Ban: Enigma; Radiant Ban: Visage; Dire Ban: Terrorblade; Dire Pick: Nyx Assassin; Radiant Pick: Clockwerk; Radiant Pick: Shadow Fiend; Dire Pick: Legion Commander; Dire Pick: Puck; Radiant Pick: Tiny; Radiant Ban: Medusa; Dire Ban: Primal Beast; Dire Ban: Timbersaw; Radiant Ban: Templar Assassin; Radiant Pick: Pangolier; Dire Pick: Phantom Assassin,7,0,Radiant Ahead (7 vs 0),7,0,Radiant Ahead (7 vs 0),7,0,Radiant Ahead (7 vs 0),
